epoch,train_loss,test_loss,test_auc,test_acc
1,1.663235591981419,1.5530372484218,0.77433891796501,0.7188149224321951
2,1.5440632891182529,1.5393051272818892,0.7667462246129351,0.726925987534893
3,1.5371976519697481,1.5366107974246006,0.7756356489386023,0.7289767332281486
4,1.534188159714967,1.5343528397061306,0.7789956610002255,0.731040864989898
5,1.5320785323240862,1.5340987678414866,0.7830545881418451,0.7316548393314819
6,1.530492321197627,1.532473233522773,0.7899401192977791,0.7329809525169378
7,1.5290348629858392,1.531874377555907,0.7903441056549431,0.7334450028913908
8,1.5244480977812445,1.524887527734959,0.7894175815746788,0.7415560679940887
9,1.518771068831624,1.5219018094374588,0.7871890226671477,0.744502787871865
10,1.515509444748815,1.5195261331417205,0.778517977143098,0.7468257169578285
11,1.513294969437425,1.5186400197257854,0.7835375853780864,0.7479055264829979
12,1.511573910578714,1.5181856186957097,0.7879492018008074,0.748345481934162
13,1.5100850370121115,1.5169102738805555,0.7907448747728492,0.7494708040922103
14,1.5089087078670484,1.5167105351973804,0.7899642735222167,0.749727816607292
15,1.5078145450637788,1.516164844609822,0.7890106581795162,0.7500713923653004
16,1.506757307250242,1.5159891558104952,0.7891717636154139,0.7504488794968266
17,1.5058580298493465,1.5156007638092626,0.7925656032101629,0.7509343475808697
18,1.5049906334550516,1.5154846059642462,0.7975201362135793,0.7511583411269999
19,1.5041314849251037,1.5156629378479072,0.7923832960406653,0.7508611704064367
20,1.5033019304579558,1.5150383795726812,0.7953616813579963,0.7514126764283827
21,1.502576817840788,1.5152517041170637,0.7940835400265422,0.7513296828037209
22,1.5018879970090164,1.5150794486808739,0.7970743631906366,0.7514929928393458
23,1.5010848833938335,1.5151075342632458,0.7957979517030256,0.7515626003955137
24,1.5004067739038016,1.514898788066302,0.7982612074874518,0.7517535749726925
25,1.4998334761119156,1.5145833640735415,0.7954107237492872,0.7519561508092325
26,1.4992224212567058,1.5148945097176088,0.7965219711114289,0.7518553090932456
27,1.498600814040558,1.5148876431082294,0.7934605963580974,0.7518660179480406
28,1.4980006725186574,1.5155161037284222,0.7956031409763558,0.7512520436064567
29,1.497402871095926,1.5146533688228956,0.7962735535701198,0.752087334280472
30,1.4969294137152032,1.5146619248890507,0.7951221352336775,0.7521578342412062
31,1.4963935660876222,1.5145804414470467,0.7957538658370951,0.7522122709197478
32,1.495931399191317,1.514454763504682,0.796462545745767,0.7521979924466877
33,1.4953961816632984,1.5147560802855475,0.7971833016688777,0.7523327455361923
34,1.4949353693722978,1.514971530000283,0.7972736684350468,0.7518437078338842
35,1.4944654556379755,1.5146494486865447,0.7970048653933762,0.7521132140128934
