epoch,train_loss,test_loss,test_auc,test_acc
1,1.686235613091703,1.575380713960714,0.7618892029736506,0.7056198379818983
2,1.550158248986215,1.5427788804125822,0.7522180579897562,0.7249584399820567
3,1.5390828868132218,1.5393575269138773,0.7559573747590616,0.7277115163029615
4,1.5356949607850408,1.5366891953745212,0.7605619407354419,0.729848888654335
5,1.533343453447928,1.535331289431463,0.7669639674480652,0.7311759506029502
6,1.531720148982741,1.5345670818814816,0.7714619409077494,0.7321357891125947
7,1.5301073656492066,1.5317890499081315,0.7777435792120984,0.735201115303762
8,1.5244192184826812,1.5256693348281227,0.7772006729318917,0.7416220281288757
9,1.5198594114359258,1.5235963862511737,0.7754794380226397,0.7434801347512117
10,1.5170195678527558,1.5216222783991844,0.7782485131847775,0.7455526382915094
11,1.5149244785425788,1.520211738894651,0.7778661197609127,0.7470732072019773
12,1.5132932086835582,1.5193678529722074,0.7805779790722344,0.747980271085662
13,1.51173325746135,1.5189585239937518,0.7794548534988758,0.7484794310895322
14,1.510449093674172,1.518424004827895,0.7804318986139203,0.7493568092461145
15,1.5093472690583445,1.518046060340436,0.7807546015876494,0.7495184315381165
16,1.5081192237916106,1.5176561511340476,0.7804011305941881,0.750155025463757
17,1.507229938374926,1.5174264794707941,0.7791312943086057,0.750127538679403
18,1.5063286372846167,1.5169968418247153,0.780783161394388,0.7505959134847965
19,1.5054748854826314,1.5171011866103674,0.781636716492695,0.7505222489027276
20,1.5046250364344638,1.517115503681121,0.7817766327240594,0.7506563844103755
21,1.5037966124437947,1.5170011114933843,0.7829581736160128,0.7506717770096137
22,1.5030201133268646,1.5166865592788632,0.7843841413564141,0.7509609379810187
23,1.5023226152711018,1.5167548997019833,0.7835318858017242,0.7507729283760368
24,1.5015046852575993,1.5171592876044717,0.7839660259607385,0.7506640807099947
25,1.5009145357043192,1.5165359863409404,0.7840844022371569,0.75107748194668
